filename,width,height,class,xmin,ymin,xmax,ymax
DanielFish_02_result.jpg,450,600,Fish Tile,209,242,276,302
DanielFish_11_result.jpg,600,450,Fish Tile,212,167,321,262
DanielFish_12_result.jpg,450,600,Fish Tile,145,219,272,335
DanielFish_13_result.jpg,450,600,Fish Tile,166,244,282,353
DanielFish_14_result.jpg,450,600,Fish Tile,208,234,248,275
DanielFish_15_result.jpg,450,600,Fish Tile,211,293,253,341
DanielFish_16_result.jpg,450,600,Fish Tile,170,260,252,330
DanielFish_17_result.jpg,450,600,Fish Tile,195,258,292,348
DanielFish_18_result.jpg,450,600,Fish Tile,151,294,281,405
DanielFish_19_result.jpg,450,600,Fish Tile,164,258,270,369
DanielFish_20_result.jpg,450,600,Fish Tile,154,240,271,366
DanielFish_03_result_result.jpg,450,600,Fish Tile,142,244,258,363
DanielFish_21_result.jpg,450,600,Fish Tile,190,244,320,379
DanielFish_22_result.jpg,450,600,Fish Tile,188,234,311,355
DanielFish_23_result.jpg,450,600,Fish Tile,158,275,266,395
DanielFish_24_result.jpg,450,600,Fish Tile,223,255,302,323
DanielFish_25_result.jpg,450,600,Fish Tile,238,213,280,255
DanielFish_26_result.jpg,450,600,Fish Tile,211,304,237,329
DanielFish_27_result.jpg,450,600,Fish Tile,206,289,233,318
DanielFish_28_result.jpg,450,600,Fish Tile,178,217,283,318
DanielFish_29_result.jpg,450,600,Fish Tile,192,198,291,290
DanielFish_30_result_result.jpg,450,600,Fish Tile,173,248,326,380
DanielFish_04_result.jpg,450,600,Fish Tile,199,303,281,363
DanielFish_31_result.jpg,600,450,Fish Tile,207,175,378,332
DanielFish_32_result.jpg,450,600,Fish Tile,179,185,339,357
DanielFish_33_result.jpg,450,600,Fish Tile,149,205,346,379
DanielFish_34_result.jpg,450,600,Fish Tile,145,165,322,346
DanielFish_35_result.jpg,450,600,Fish Tile,175,226,348,386
DanielFish_36_result.jpg,450,600,Fish Tile,215,167,392,364
DanielFish_37_result.jpg,450,600,Fish Tile,153,201,316,374
DanielFish_38_result.jpg,450,600,Fish Tile,91,229,249,394
DanielFish_39_result.jpg,450,600,Fish Tile,96,88,262,249
DanielFish_40_result.jpg,450,600,Fish Tile,131,226,299,385
DanielFish_05_result.jpg,600,450,Fish Tile,298,147,421,265
DanielFish_41_result.jpg,450,600,Fish Tile,146,235,346,421
DanielFish_42_result.jpg,450,600,Fish Tile,219,238,314,330
DanielFish_43_result.jpg,450,600,Fish Tile,191,245,282,338
DanielFish_result.jpg,3072,4096,Fish Tile,458,1067,2270,2742
DanielFish_06_result.jpg,450,600,Fish Tile,221,296,281,347
DanielFish_07_result.jpg,450,600,Fish Tile,115,191,352,408
DanielFish_08_result.jpg,600,450,Fish Tile,231,166,298,247
DanielFish_09_result.jpg,600,450,Fish Tile,221,168,299,253
DanielFish_10_result.jpg,600,450,Fish Tile,220,179,319,271
